train_id,ref,tester,summary,create_date,status,priority,severity,resolution,implemented_date,release_fixed,release_found,sw_blocker,targetsw,testcase,triage,owner,assement,reject_cat,farea,Description
199,SWDEV-114602,karyashr,[IV][Win10 x 64]Final Fantasy xiv_ heavensward Application crashed while running on Bristol Mobile + VI Topaz,36:00.0,Rejected,P2 (Must Solve),High,,,,17.2,No,694875,2674743,DXX (DX10-DX11),IV,CQE Escape,,Performance,"System Configuration for Win10 x 64_64bit Chipset     : 81fa CPU         : AMD A10-9600P RADEON R5, 10 COMPUTE CORES 4C+6G RAM         : 4 GB GPU         : VI Topaz DID         : 6900 Machine : HY-IN-IVT1-121 OS Image used: Win10 64 Bit_15024 TACC Image (\\hydindrvcache01\Images\15024-RS2-64b.GHO) Driver: 17.20-170224-230356E-ATI (\\hydincbt03\build\1702242123\image\17.20\17.20_BR230356) Steps to Reproduce - Set up the system similar to the above configuration - Install the driver (17.20-170224-230356E-ATI) - Install FFXIV HS through TACC(Test set: BV_3D_Inst_FFXIV_HS) - Run FFXIV_HS through TACC or Manual (Test set: BV_Perf_FFXIV_HS)  Expected Result: Test should complete without any issues Actual Result: App. crash observed during execution                 Regression Details: Driver: 17.20-170224-230356E-ATI-FAIL 17.20-170223-230356E-ATI-PASS CL Regression: CL#1377541 - Fail CL#1377540 - Pass   ASICs VI TOPAZ OS Observed in win_10 64 bit  "
200,SWDEV-114605,karyashr,[IV][Win10 x 64]Final Fantasy xiv _ heavensward Application crashed while running on Bristol Mobile + VI Topaz,06:00.0,Rejected,P2 (Must Solve),High,,,,17.1,No,694869,2674743,DXX (DX10-DX11),IV,CQE Escape,,Performance,"  System Configuration for Win10 x 64_64bit ----------------------------------------------------------------- Chipset     : 81fa CPU         : AMD A10-9600P RADEON R5, 10 COMPUTE CORES 4C+6G RAM         : 4 GB GPU         : VI Topaz DID         : 6900 Machine : HY-IN-IVT9-43 OS Image used: Win10 64 Bit_15024 TACC Image (\\hydindrvcache01\Images\15024-RS2-64b.GHO) Driver: 17.10-170224-311081E-ATI (\\hydincbt03\build\1702241617\image\17.10\17.10_BR311081) Steps to Reproduce ------------------------ - Set up the system similar to the above configuration - Install the driver (17.10-170224-311081E-ATI) - Install FFXIV HS through TACC(Test set: BV_3D_Inst_FFXIV_HS) - Run FFXIV_HS through TACC or Manual (Test set: BV_Perf_FFXIV_HS)    Expected Result: -----------------  Test should complete without any issues Actual Result: --------------- App. crash observed during execution                 Regression Details: -------------------  Driver: -------  17.10-170224-311081E-ATI-FAIL 17.10-170223-311081E-ATI-PASS   ASICs ------- VI TOPAZ OS -- Observed in win_10 64 bit  "
201,SWDEV-114606,skubra,WDDM2 - Map Default Texture - Device-dependent layout test is failing on SI/CI,27:00.0,Closed,P1 (Gating),High,Fixed,Feb 28 2017 8:43AM,17.2,17.2,No,694875,,DXC (DX12),IV,CQE Escape,,Certificate,Problem Description ------------------------- Following test is failing on Redstone_64bit in SI/CI Job ID:    3394 Job Name:    WDDM2 - Map Default Texture - Device-dependent layout test System Configuration -------------------------- OS Version      Redstone(14393)64bit HLK Version    HLK 14393 Kit ASIC              SI TAHITI ASIC ID           679A CPU               AMD A8-3870 APU with Radeon(tm) HD Graphics Chipset           f1a75-v-pro  Steps to reproduce --------------------- Install Redstone 64bit (14393) Install Display Driver from location \\hydincbt03\build\1702242123\image\17.20\17.20_BR230356 Install HLK client on the test machine Install HLK Studio on the local host machine Create a project in HLK Studio Queue the following test(s) Expected Result ------------------ Test should pass Actual Result ------------------ Test is failing Regression Details ------------------- 17.20-1702271744_BR230356 -- Fail 17.20-1702242123_BR230356--Fail 17.20-170223_BR230356(1702231834)-- Pass CL Regression ------------------ CL#1377541--Fail CL#1377540--Pass   Note: 1. Test is passing on VI/PI/AI. 2. Logs are at \\hydingfs\iv\Certification\HLK_ErrorLogs\ErrorLogs
202,SWDEV-114826,skubra,[Dumps][LKD_0x141_IMAGE_atikmpag.sys],30:00.0,Rejected,Undefined,High,,,,17.2,No,,3075713,Stress,IV,CQE Escape,,Stress,"Issue         :  LKD_0x141_IMAGE_atikmpag.sys Resolution :    Likely ATI Issue OS            :     RS2(15024)_64bit Configurations : Driver Count mva_vhd-1377982 1 17.20-170228n-230356E-ATI 10 17.20-170227n-230356E-ATI 1 17.20-170224n-230356E-ATI 1 10.0.15024.1000 58 Host_Name(ASIC) Count HY-IN-IVT8-41 (AI ELLESMERE)(67DF)()(0)(z87-pro3) (Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz 3401 MHz)(16314) 71 HY-IN-KMD3-06 (VI TOPAZ)(6900)(FUSION STONEY)(98E4)(gardenia-st) (AMD E2-9010 RADEON R2, 4 COMPUTE CORES 2C+2G 2000 MHz)(7653) 1 HY-IN-TEST-96 ()(67EF)()(AAE0)(x58a-gd65--ms-7522-) (Intel(R) Core(TM) i7 CPU 950 @ 3.07GHz 3068 MHz)(4088) 1 Impact           :  Observed AI ELLESMERE, VI TOPAZ asic Observed on :  17.20   Note:Debugging Details are shared in attachment. Dumps: \\hydinlogs01\coredmp$\HY-IN-IVT8\HY-IN-IVT8-41\F2078-06-20-11#22#46#018_3075713.7z \\hydinlogs01\coredmp$\HY-IN-IVT8\HY-IN-IVT8-41\F2078-07-13-14#17#47#286_3076651.7z \\hydinlogs01\coredmp$\HY-IN-IVT8\HY-IN-IVT8-41\F2078-05-29-17#51#06#914_3075713.7z \\hydinlogs01\coredmp$\HY-IN-IVT8\HY-IN-IVT8-41\F2078-06-15-18#20#49#708_3075713.7z"
203,SWDEV-114827,karyashr,[IV][Win7_64]BSOD observed over FUSION CARRIZO while executing PC MARK8 (HOME 3.0),37:00.0,Rejected,P2 (Must Solve),Critical,,,,,No,,155698,Base Graphics Driver Triage,IV,CQE Escape,,Performance,"System Configuration for Win7_64_64bit ----------------------------------------------------------------- Chipset     : 80af CPU         : AMD A10-8700P Radeon R6, 10 Compute Cores 4C+6G RAM         : 8 GB GPU         : FUSION CARRIZO DID         : 9874 Machine : HY-IN-IVT1-117 OS Image used: Win7 64 Bit,K TACC Image (\\hydindrvcache01\images$\W764K.GHO) Driver: 17.20-170228-230356E-ATI (\\hydincbt03\BUILD\1608291900\image\16.50\16.50_BR230356) Steps to Reproduce ------------------------ - Set up the system similar to the above configuration - Install the driver 17.20-170228-230356E-ATI (Full Build) - Install PCMARK8 through TACC(Test set: BV_Inst_PCM8_419) or manual (\\hydingfs\COMMON\3D\Benchmarks\PCMark08\PCMark8-v2.7.613) - Run PCMARK8 thru TACC or Manual (HOME 3.0) While running PCM8 select HW acceleration as dGPU. Expected Result: -----------------  Test should complete without any issues Actual Result: --------------- BSOD observed during execution                Regression Details: -------------------  Driver: -------  17.20-170228-230356E-ATI-FAIL 17.20-170227-230356E-ATI-PASS   ASICs ------- FUSION CARRIZO OS -- Observed in win_7 64 bit Dump path --------- \\hydingfs\TACC\Arya\Memory  Dump_PCmark 8\ BUCKET_ID:  X64_0x116_IMAGE_atikmpag.sys   CL Regression: --------------------- CL#1378792 - Pass CL#1378793 - Pass CL#1378828 - Pass "
204,SWDEV-114829,skubra,[Dumps][0x113_dxgkrnl!COREACCESS],54:00.0,Closed,Undefined,High,,,,17.2,No,,3075864,Stress,IV,CQE Escape,,Certificate,"Issue         :  0x113_dxgkrnl!COREACCESS Resolution :    Likely OS Issue OS            :     RS2(15024)_64bit Configurations : Driver Count 17.20-170228n-230356E-ATI 5 17.20-170220n-230356E-ATI 1 17.10-170207a2-311071E-ATI 1 10.0.15024.1000 4 Host_Name(ASIC) Count HY-IN-IVT5-38 (AI ELLESMERE)(67DF)()(0)(m5a99x-evo) (UNKNOWN 0 MHz)(12234) 4 HY-IN-IVT5-63 (CI KICKER)(665F)()(0)(f2a85xm-d3h) (UNKNOWN 0 MHz)(8140) 4 HY-IN-IVT5-85 (PI FIJI)(7300)()(0)(myrtle-sm) (AMD Ryzen: ZD3601BAM88F4_40/36_Y 3600 MHz)(8106) 2 R6-IN-PVT3-01 (VI HAWAII)(67B0)(VI HAWAII)(67B0)(x79s-up5) (UNKNOWN 0 MHz)(8111) 1 R6-IN-PVT3-22 (AI ELLESMERE)(67DF)()(0)(970a-g45--ms-7693-) (UNKNOWN 0 MHz)(8179) 1 Impact           :  Observed AI ELLESMERE, CI KICKER,PI FIJI,VI HAWAII asic Observed on :  17.20   Note:Debugging Details are shared in attachment. Dumps: \\hydinlogs01\coredmp$\HY-IN-IVT5\HY-IN-IVT5-38\F2017-03-01-00#51#25#229_3075895.7z \\hydinlogs01\coredmp$\HY-IN-IVT5\HY-IN-IVT5-63\F2017-03-01-00#50#38#949_3075838.7z \\hydinlogs01\coredmp$\HY-IN-IVT5\HY-IN-IVT5-63\F2017-03-01-00#29#59#605_3075864.7z"
205,SWDEV-114831,ntadikon,BSOD observed while installing driver over VI ASICs and few APUs with Redstone -32 bit OS,06:00.0,Closed,P1 (Gating),Critical,Fixed,Mar 1 2017 11:17AM,,17.2,No,694875,3075715,Base Graphics Driver Triage,IV,CQE Escape,,Sanity,BSOD observed while installing driver over VI ASICs and few APUs with Redstone -32 bit OS SYSTEM:  CPU     : Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz ASIC    :  VI TONGA ( 6939) OS      :  Redstone2 15014x32 ( \\hydindrvcache01\Images\R5014-RS2-32b.GHO) System Memory:  3530 DRIVER  : \\hydincbt03\build\1702281759\image\17.20\17.20_BR230356 STEPS TO REPRODUCE: 1. Boot into the required setup 2. Install the driver from above path as mentioned 3. While installing the driver observe the issue EXPECTED: No BSOD must be observed while installing driver. Driver installation should be fine ACTUAL: Observing BSOD while installing driver. Seeing the same issue with INF installation also. REGRESSION INFO: 17.20-1702281759(CL#1379192)--->Fail 17.20-1702271744(CL#1378511)--->Pass DUMP ANALYSIS: dump can be found at: \\hydinlogs01\coredmp\HY-IN-IVT1\HY-IN-IVT1-105\F2017-03-01-16#16#39#189_0 Please refer to attached text file for dump analysis. Observations: >Issue observed while installing driver on RS1 OS . >Issue observed with below cofiguration also WIN10x32 +FUSION KABINI(983D) WIN10x32 +VI AMETHYST(6921) WIN10x32+CI SUN(666F)
206,SWDEV-114835,vmahalak,Test case: check memoty leak failed across RS-64 bit OS,18:00.0,Closed,P2 (Must Solve),High,,,,17.1,No,694869,49838,Base Graphics Driver Triage,IV,CQE Escape,,Sanity,"Test case: check memoty leak failed across RS-64 bit OS SYSTEM:  CPU : Intel(R) Core(TM) i3-2100 CPU@3.10GHz ASIC : AI Ellesmere ( 67DF) OS:  RS1 or RS2 64 bit OS  RAM: 8 GB DRIVER: \\hydincbt03\build\1702281903\image\17.10\17.10_BR311081 STEPS TO REPRODUCE: 1. Boot into the required setup 2. Install the driver from above path and reboot the system when prompted 3. Install the pre-requisite testbot before running the test and run the test check memory leak to notice the issue (Test set:  IV_AutoN_WT_KMD_L1 --> CheckMemoryLeak ) EXPECTED: No failure must be observed while running check memory leak test case ACTUAL: Observing failure while running check memory leak test as below: -7.66% differenc in phyiscal memory which is higher then  -5% logs file found at : \\hydinlogs01\logs$\HY-IN-IVT10\HY-IN-IVT10-11\CheckMemoryLeak_2017-03-01-15#05#42#261 Regression: 17.10 - 1702281903 ( CL#1379233 ) --> Fail 17.10 -1702211956 ( CL#1376139 ) --> Fail This is a regression, but yet to identify a passing point. Observations: 1. Seeing check memory leak test failure across both RS1 and RS2 OS. 2. No failure observed across Win7-64 OS  3. Noticing check memory leak failure across AI Ellesmer, PI FIJI, CI Bonaire CF."
207,SWDEV-115008,ntadikon,"Driver Packaging Verison is showning ""NOT AVAILABLE"" in CN-Softwaretab across A+I Configs",01:00.0,Closed,P2 (Must Solve),High,Fixed,Mar 6 2017 5:27AM,,17.2,No,694875,133124,Radeon Settings,IV,CQE Escape,,Sanity,"SYSTEM:  CPU     : Intel(R) Core(TM) i3-5010U CPU @ 2.10GHz  ASIC    :  VI TOPAZ ( 6939) OS      :  Redstone2 15043x64 ( \\hydindrvcache01\Images\15043-RS2-64b.GHO) System Memory:  4025 DRIVER  : \\hydingfs\tacc\builds\1703011608\17.20_BR230356                          STEPS TO REPRODUCE: 1. Setup the machine with the above configuration. 2. Copy build from above mentioned path and Install driver and reboot the system.                                      3. Launch CN and go to Software tab �verify driver packaging version 4. You can observe the issue Driver packaging Version it is showing as """"NOT AVAILABLE""""                             EXPECTED RESULT: >> Driver Packaging version should shown as per version .   ACTUAL RESULT: >> Driver packaging version is showing as """"NOT AvAILABLE"""" in software. REGRESSION INFO: 17.20-1703011608(CL#1379855)--->Fail 17.20-1702281759(CL#1379192)--->Pass"
208,SWDEV-115247,akondapa,BSOD observed after enabling driver verifier on DGPUs with Win10 OS,44:00.0,Closed,P1 (Gating),Critical,Fixed,Mar 6 2017 1:59PM,17.2,17.2,No,694875,43938,KMD-Display,IV,CQE Escape,,Sanity,BSOD observed after enabling driver verifier on DGPUs with Win10 OS SYSTEM: CPU :  AMD Phenom(tm) II X6 1090T Processor ASIC :  CI BONAIRE (6658) Motherboard: ga-890fxa-ud5 Chipset: AMD 890FX OS:  Win10-64 (\\hydindrvcache01\Images\15043-RS2-64b.GHO) RAM:  8 GB DRIVER:  \\hydincbt03\build\1703041407\image\17.20\17.20_BR230356 STEPS TO REPRODUCE: 1. Boot into the required setup 2. Install the driver from above path and reboot the system when prompted 3. Enable driver verifier and reboot the system EXPECTED: No BSOD must be observed ACTUAL: Observing BSOD while booting into OS Dump path: \\hydinlogs01\Coredmp$\HY-IN-IVT5\HY-IN-IVT5-12\F2017-03-06-11#15#03#709_43938.7z  Refer the attachment for more details Regression: 17.20 -1703041407 (CL#1381348) --> Fail 17.20 -1703021819 (CL#1380614) --> Pass Observation: Issue observed with INF install also Issue observed with only Win10 OS Issue observed with only DGPUs
209,SWDEV-115348,akondapa,BSOD observed after enabling driver verifier with Winblue OS,44:00.0,Closed,P2 (Must Solve),High,Fixed,Mar 7 2017 4:10PM,,17.2,No,694875,43938,KMD-Triage,IV,CQE Escape,,Sanity,BSOD observed after enabling driver verifier with Winblue OS SYSTEM: CPU :  AMD Phenom(tm) II X6 1090T Processor ASIC :  VI HAWAII (67B0) Motherboard: m4a89gtd-pro-usb3 Chipset: AMD 890GX OS:  WinBlue-64 (\\hydindrvcache01\Images\WB64I.GHO) RAM:  4 GB DRIVER:  \\hydincbt03\build\1703061755\image\17.20\17.20_BR230356 STEPS TO REPRODUCE: 1. Boot into the required setup 2. Install the driver from above path and reboot the system when prompted 3. Enable driver verifier and reboot the system EXPECTED: No BSOD must be observed ACTUAL: Observing BSOD while booting into OS Dump path: \\hydinlogs01\Coredmp$\HY-IN-IVT5\HY-IN-IVT5-20\F2017-03-07-11#18#18#224_43938.7z Refer the attachment for more details Regression: 17.20 -1703061755 (CL#1381912) --> Fail 17.20 -1703041407 (CL#1381348) --> Fail 17.20 -1703021819 (CL#1380614) --> Pass Observation: Issue observed with INF install also
210,SWDEV-115370,skubra,H264/WMV tests are failing in RS1,24:00.0,Rejected,P1 (Gating),Critical,,,,17.2,No,,,KMD-Triage,IV,CQE Escape,,Certificate,Problem Description ------------------------- H264/WMV tests are failing on SI/CI/VI/PI H264 playback test 1 H264 playback test 10 H264 playback test 11 H264 playback test 12 H264 playback test 13 H264 playback test 14 H264 playback test 15 H264 playback test  2 H264 playback test 3 H264 playback test 4 H264 playback test 5 H264 playback test 7 WMV playback test 32 WMV playback test 33 WMV playback test 39 WMV playback test 40  System Configuration -------------------------- OS Version    Redstone(14393)64bit HLK Version    HLK 14393 Kit ASIC         CI BONAIRE ASIC ID        665C CPU        Intel(R) Core(TM) i7-3930K CPU @ 3.20GHz Chipset        p9x79     Steps to reproduce --------------------- Install Redstone 64bit (14393) Install Display Driver from location \\hydincbt03\build\1703061755\image\17.20\17.20_BR230356 Install HLK client on the test machine Install HLK Studio on the local host machine Create a project in HLK Studio Queue the  H264/WMV test(s) Expected Result ------------------ Tests should pass Actual Result ------------------ Tests are failing Regression Details ------------------- 17.20-170306-230356E-- Fail 17.20-170302-230356E-- Pass CL Regression --------------- CL#1381912--Fail CL1381792 --Fail CL#1380614-- Pass Note: ------- Test are failing on SI/CI/VI/PI Traigging details ------------------ 1. Replaced the KMD files from passing driver(17.20-170302-230356E) to failing driver(17.20-170306-230356E) tests are passed. 2. Replaced the KMD files of failing driver(17.20-170306-230356E) to passing driver(17.20-170302-230356E) test failed.  
211,SWDEV-115570,akondapa,Centralized Build 1703081743 for revision CL#1383153 on 17.20 failed,28:21.0,Closed,P1 (Gating),Critical,,,,17.2,No,694875,,LiquidVR SDK,IV,CQE Escape,,Sanity,Centralized Build 1703081743 for revision CL#1383153 on 17.20 failed Build log: \\amd.com\swblds\DEVONLY2\Build\1703081743\raw\log   Attached the notification mail. Regression: 17.20 - 1703081743 (CL#1383153) --> Fail 17.20 - 1703071703 (CL#1382555) --> Pass
212,SWDEV-115572,vmahalak,Linux PRO 17.20 OSDB##396033 failed across rhel 7 OS,10:27.0,Closed,P1 (Gating),Critical,,,,17.2,No,694875,0,INF/Build/Packaging,IV,CQE Escape,,Sanity,Linux PRO 17.20 OSDB##396033 failed across rhel 7 OS Build path : http://osibuilds/#/job/396033  log : http://osibuilds/#/buildlog/396033/923    Note: The build has failed for SLE 12 os as well Regression: OSDB#390633 --> Fail OSDB#395724 --> Fail OSDB#395378 --> Pass  
213,SWDEV-115717,skubra,[Dumps][OLD_IMAGE_dxgkrnl.sys],43:04.0,Closed,Undefined,High,,,,17.2,No,,3076543,Stress,IV,CQE Escape,,Certificate,"Issue         :  OLD_IMAGE_dxgkrnl.sys Resolution :    Likely OS Issue OS            :     RS2(15043)_64bit Configurations : Driver Count mm_cqe-MM_CQE-1702261600 1 kmd_cqe-KMD_CQE-1703071600 7 17.20-170308n-230356E-ATI 43 17.20-170307n-230356E-ATI 13 10.0.15043.0 13 10.0.15014.1000 8 Host_Name(ASIC) Count HY-IN-IVT4-26 (FUSION KAVERI SPECTRE)(130A)()(0)(ballina) (AMD Eng Sample: ZM207094H4468_32/20/12/05_130A 1900 MHz)(3559) 1 HY-IN-IVT4-65 (FUSION KAVERI SPECTRE)(130A)()(0)(ballina) (AMD Eng Sample: ZM207094H4468_32/20/12/05_130A 1900 MHz)(3559) 2 HY-IN-IVT5-25 (CI KICKER)(6647)(FUSION KABINI)(9834)(larne) (UNKNOWN 0 MHz)(3549) 65 HY-IN-KMD3-01 (VEGA10)(687F)()(0)(x99-sli-cf) (Intel(R) Core(TM) i7-5960X CPU @ 3.00GHz 3001 MHz)(16191) 5 HY-IN-KMD4-08 (SI CAPE VERDE)(683F)()(0)(x99-gaming-5p) (Intel(R) Core(TM) i7-5960X CPU @ 3.00GHz 3001 MHz)(16210) 4 HY-IN-NPI1-131 (FUSION CARRIZO)(9874)()(0)(gardenia) (UNKNOWN 0 MHz)(5733) 7 HY-IN-SRT3-23 (FUSION CARRIZO)(9874)()(0)(gardenia) (AMD Eng Sample: ZM2111C1Y4382_34/21/13/06_9874 2100 MHz)(7648) 1 Impact           :  Observed Kaveri, CI KICKER, Carrizo asic Observed on :  17.20   Note:Debugging Details are shared in attachment. Dumps: \\hydinlogs01\coredmp$\HY-IN-IVT5\HY-IN-IVT5-25\F2017-03-09-04#41#00#682_3076543.7z \\hydinlogs01\coredmp$\HY-IN-IVT5\HY-IN-IVT5-25\F2017-03-09-05#29#44#757_3076543.7z \\hydinlogs01\coredmp$\HY-IN-IVT5\HY-IN-IVT5-25\F2017-03-09-05#19#51#445_3076543.7z \\hydinlogs01\coredmp$\HY-IN-IVT5\HY-IN-IVT5-25\F2017-03-09-04#31#27#075_3076543.7z"
214,SWDEV-115718,skubra,[Dumps][AV_VRF_atikmdag!Unknown_Function],59:38.0,Closed,Undefined,High,,,,17.2,No,,2674512,Stress,IV,CQE Escape,,Sanity,"Issue         :  AV_VRF_atikmdag!Unknown_Function Resolution :    Likely OS Issue OS            :     RS2(15043), Win8.1 Configurations : Driver Count mmc_cqe-MMC_CQE-1611201600 1 mm_cqe-MM_CQE-1611061600 2 mm_cqe-MM_CQE-1610301600 1 mm_cqe-MM_CQE-1610231600 2 mm_cqe-MM_CQE-1608211600 5 mm_cqe-MM_CQE-1604041600 6 mm_cqe-MM_CQE-1603271600 10 kmd_cqe-KMD_CQE-1611201600 13 kmd_cqe-KMD_CQE-1601211600 2 kmd_cqe-KMD_CQE-1601071600 2 kmd-rearch-1330639 3 kmd-1252441 3 kmd-1251085 6 kmd-1250064 2 kmd-1249441 4 kmd-1231655 2 kmd-1230577 2 kmd-1220259 3 dal_cqe-DAL_CQE-1610271600 2 dal_cqe-DAL_CQE-1608251600 3 dal_cqe-DAL_CQE-1607141600 1 cail-1252885 1 bg_cqe-BG_CQE-1611221600 4 bg_cqe-BG_CQE-1611081600 1 bg_cqe-BG_CQE-1610251600 1 bg_cqe-BG_CQE-1610181600 2 bg_cqe-BG_CQE-1610111930 2 bg_cqe-BG_CQE-1609271600 1 bg_cqe-BG_CQE-1609201600 1 bg_cqe-BG_CQE-1607191600 1 bg_cqe-BG_CQE-1605311600 10 bg_cqe-BG_CQE-1604051600 1 17.20-170304n-230356E-ATI 1 16.40-160811a-305743E-ATI 1 16.30-160530n-230356E-ATI 1 10.0.15043.0 1   5 Host_Name(ASIC) Count HY-IN-IVT8-41 (AI ELLESMERE)(67DF)()(0)(z87-pro3) (Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz 3401 MHz)(16314) 2 HY-IN-KMD1-115 (CI BONAIRE)(6658)()(0)(m5a97-le-r2.0) (UNKNOWN 0 MHz)(16285) 1 HY-IN-KMD3-02 (AI BAFFIN)(67EF)(AI BAFFIN)(67EF)(b75m-d3h) (Intel(R) Core(TM) i3-3250 CPU @ 3.50GHz 3500 MHz)(16328) 14 HY-IN-KMD3-03 (AI BAFFIN)(67EF)()(0)(x99-pro) (Intel(R) Core(TM) i7-5820K CPU @ 3.30GHz 3301 MHz)(16286) 1 HY-IN-KMD3-05 (FUSION STONEY)(98E4)()(0)(gardenia-st) (AMD Eng Sample: 2M2101AFY23AC_27/21/10/05_98E4 2100 MHz)(3976) 5 HY-IN-KMD3-06 (VI TOPAZ)(6900)(FUSION STONEY)(98E4)(gardenia-st) (AMD E2-9010 RADEON R2, 4 COMPUTE CORES 2C+2G 2000 MHz)(7653) 5 HY-IN-KMD3-07 (AI ELLESMERE)(67DF)()(0)(m5a97-le-r2.0) (AMD FX(tm)-4300 Quad-Core Processor 3800 MHz)(16285) 7 HY-IN-KMD3-08 ()(67C4)()(0)(970a-ds3p) (AMD FX(tm)-8350 Eight-Core Processor 4000 MHz)(16353) 3 HY-IN-KMD3-09 (PI FIJI)(7300)()(0)(x99-pro) (Intel(R) Core(TM) i7-5820K CPU @ 3.30GHz 3301 MHz)(16285) 5 HY-IN-KMD3-13 (FUSION KAVERI SPECTRE)(130F)()(0)(f2a88xm-d3h) (AMD A10-7850K Radeon R7, 12 Compute Cores 4C+8G 3700 MHz)(15304) 1 Impact           :  Observed AI ELLESMERE, CI KICKER,PI FIJI,VI HAWAII asic Observed on :  17.20   Note:Debugging Details are shared in attachment. Dumps: \\hydinlogs01\coredmp$\HY-IN-IVT8\HY-IN-IVT8-41\F2078-05-29-17#49#05#250_3075713.7z \\hydinlogs01\coredmp$\HY-IN-KMD3\HY-IN-KMD3-52\F2016-11-24-12#03#31#420_2674512.7z  "
215,SWDEV-115741,vmahalak,Windows security pop observed on reboot after driver installation across Win 7 PX configurations,11:49.0,Closed,Undefined,High,,,,17.1,No,694869,3075715,Base Graphics Driver Triage,IV,CQE Escape,,Sanity,SYSTEM:  CPU : AMD RX-425BB with AMD Radeon(tm) R6 Graphics APU:  Kaveri PX + Topaz ( 131D + 6900) SBIOS: WBL4709N OS:  Win7-64 OS ( \\hydindrvcache01\Images\W764K.GHO) RAM: 8GB DRIVER: \\hydincbt03\build\1703091737\image\17.10\17.10_BR311081 STEPS TO REPRODUCE: 1. Boot into the required setup 2. Install the driver from above path 3. Driver installs successfully and reboot the system after driver installation 4. On reboot of the system windows security pop up is observed. EXPECTED: No security pop must be observed on reboot after driver installation ACTUAL: On reboot after driver installation windows security pop is observed attached the screen shot for the same. Regression: 17.10 - 1703091737 -311081 ( CL#1383708) --> Fail 17.10 - 1703091450 - 311081 ( CL#1383590) --> Fail 17.10 - 1703091426 - 311081 ( CL#1383589) --> Pass 17.10 - 1703081809 -311081 ( CL#1383165) --> Pass   Observations: 1. Observing the windows security pop with both full build as well as inf. 2. Observing the security only across Win7 Kabini and Kaveri PX platforms. Observed the issue on following configurations: Fusion Kabini + CI Mars ( 9832+6600; Win7-64 OS) Kaveri + SI Tropo ( 130D+682B; win7-32 OS)
216,SWDEV-115746,vmahalak,BSOD observed after rebooting the machine after driver installation,14:17.0,Closed,Undefined,Critical,,,,17.1,No,694869,3075715,Base Graphics Driver Triage,IV,CQE Escape,,Sanity,"SYSTEM:  CPU : AMD A10-9600P RADEON R5, 10 COMPUTE CORES 4C+6G APU:  Bristol laptop ( 9874 + Topaz ( 6900)) OS:  RS2-15043_x64 OS ( \\hydindrvcache01\Images\15043-RS2-64b.GHO) RAM: 4GB  DRIVER: \\hydincbt03\build\1703091737\image\17.10\17.10_BR311081 STEPS TO REPRODUCE: 1. Boot into the required setup 2. Install the driver from above path 3. Driver installs successfully and reboot the system after driver installation 4. When system is left idle for a while system automatically restarts and BSOD is observed. EXPECTED: No BSOD must be observed  ACTUAL: BSOD is observed after driver installation  Regression: 17.10 - 1703091737 -311081 ( CL#1383708) --> Fail 17.10 - 1703091450 - 311081 ( CL#1383590) --> Fail 17.10 - 1703091426 - 311081 ( CL#1383589) --> Pass 17.10 - 1703081809 -311081 ( CL#1383165) --> Pass Dump analysis: On analyzing the dump its pointing to the following bucket id: FAILURE_ID_HASH_STRING:  km:0x116_image_atikmpag.sys dump found at: \\hydinlogs01\coredmp\HY-IN-IVT10\HY-IN-IVT10-23\F2017-03-10-14#22#19#710_269177 \\hydinlogs01\coredmp\HY-IN-IVT10\HY-IN-IVT10-27\F2017-03-10-12#12#31#422_269177 Observations: 1. Observing BSOD even on the following configuration. Carrizo PX ( 9874+ VI Topaz ( 6900)).  Previously over CZ there was aother issue SWDEV-112101. With latest build we are seeing different BSOD 2. Observing BSOD  when system is left idle for a while and continuous BSOD is noticed. 2. Observing BSOD with full build and TDR with inf installation."
217,SWDEV-115773,akondapa,Mini dump observed after rebooting on driver installation over Kabini + SI Strato configuration,12:42.0,Closed,P2 (Must Solve),High,,,,17.2,No,694875,3075715,Base Graphics Driver Triage,IV,CQE Escape,,Sanity,Mini dump observed after rebooting on driver installation over Kabini + SI Strato configuration SYSTEM: CPU :  AMD E1-2100 APU with Radeon(TM) HD Graphics ASIC :  SI STRATO (6647) Motherboard: Larne Chipset: Fusion Kabini (9834) OS:  RS2-64 (\\hydindrvcache01\Images\15043-RS2-64b.GHO) RAM:  4 GB DRIVER:  \\hydincbt03\build\1703091706\image\17.20\17.20_BR230356 STEPS TO REPRODUCE: 1. Boot into the required setup 2. Install the driver from above path and reboot the system when prompted 3. Keep the system idle for 5 min and observe EXPECTED: No BSOD must be observed ACTUAL: BSOD observed within 5 min (mini dump) Dump path: \\hydinlogs01\Coredmp$\HY-IN-IVT5\HY-IN-IVT5-25\F2017-03-10-17#07#03#651_0.7z Refer the attachment for more details Observation: Issue not observed with INF install Issue observed only with Kabini + SI STRATO configuration
